ID,epoch,guid,userID
50,1583868164,65_campus_5e67e904cca883.16093810,65
51,1583868181,65_campus_5e67e915b0a0d5.85567522,65
52,1583868258,65_campus_5e67e962313422.82058464,65
53,1583868297,65_campus_5e67e989278f80.30007562,65
54,1583868370,65_campus_5e67e9d24797c5.28829297,65
55,1583868768,65_campus_5e67eb60814075.67019969,65
56,1583868834,65_campus_5e67eba2d1e229.60845531,65
57,1583868891,65_campus_5e67ebdb0c72f5.65367401,65
58,1583868953,65_campus_5e67ec191dfcd3.53602548,65
59,1583869000,65_campus_5e67ec488b1713.73983706,65
60,1583869105,65_campus_5e67ecb12da7c7.68362789,65
61,1583869192,65_campus_5e67ed08983cc0.66992138,65
62,1583869539,65_campus_5e67ee633271b1.98941714,65
63,1583871679,65_campus_5e67f6bfec9b52.83833202,65
64,1583871774,65_campus_5e67f71e7dfcf3.98128919,65
65,1583871805,65_campus_5e67f73d88a818.85928369,65
66,1583871872,65_campus_5e67f78050ebe6.49654515,65
67,1583871963,65_campus_5e67f7db0734e0.39121870,65
68,1583872019,65_campus_5e67f8135844d5.59722996,65
69,1583872070,65_campus_5e67f846d19974.01046669,65
70,1583872115,65_campus_5e67f8733d0349.92815157,65
71,1583872158,65_campus_5e67f89e3e2438.85239342,65
72,1583872203,65_campus_5e67f8cb8ff3a9.54673325,65
73,1583872300,65_campus_5e67f92c729183.57898128,65
74,1583872351,65_campus_5e67f95f8ba0e5.84805453,65
75,1583874783,65_campus_5e6802df3491b7.17105824,65
76,1583874813,69_campus_5e6802fd4e13c8.80155090,69
77,1583875807,69_campus_5e6806df5fea80.46467967,69
78,1583877743,71_campus_5e680e6fbd05b6.51185355,71
79,1583878515,69_campus_5e681173dc7366.85694045,69
80,1583879545,69_campus_5e681579d780e9.73262576,69
81,1583879724,76_campus_5e68162c0b1921.76647045,76
82,1583879955,65_campus_5e681713b00578.73129909,65
83,1583881333,78_campus_5e681c755598b6.42403856,78
84,1583881720,69_campus_5e681df84d5867.23859778,69
85,1583881891,65_campus_5e681ea313af90.44375497,65
86,1583882866,80_campus_5e6822728b1647.11514140,80
87,1583883638,81_campus_5e6825765b7a87.29927741,81
89,1583928516,65_campus_5e68d4c40ab018.37060336,65
90,1583947307,84_campus_5e691e2bd5d087.79381190,84
91,1583973291,84_campus_5e6983ab290d76.90639429,84
92,1583973866,80_campus_5e6985ea657444.77684902,80
93,1584016917,84_campus_5e6a2e15434f89.02771449,84
94,1584029490,85_campus_5e6a5f326dc036.28361287,85
95,1584051440,86_campus_5e6ab4f0efb722.97143195,86
96,1584051926,88_campus_5e6ab6d6eaff60.44955741,88
97,1584054847,83_campus_5e6ac23fd8ea29.76019613,83
98,1584062809,90_campus_5e6ae15964a8c3.19018232,90
99,1584115885,85_campus_5e6bb0ad4661c6.16716464,85
100,1584117442,84_campus_5e6bb6c22aa3d6.42181239,84
101,1584126922,92_campus_5e6bdbca378c91.20652569,92
102,1584133726,69_campus_5e6bf65e99bdd8.32451834,69
103,1584133890,69_campus_5e6bf702a83a30.87658406,69
104,1584134078,69_campus_5e6bf7be1631c9.52062758,69
105,1584140919,65_campus_5e6c1277898475.27229044,65
106,1584141314,85_campus_5e6c1402eb0543.19273026,85
107,1584141409,84_campus_5e6c1461d27725.62156022,84
108,1584141463,88_campus_5e6c14977587d0.02652065,88
109,1584142314,98_campus_5e6c17ea052619.44524381,98
110,1584142358,69_campus_5e6c18160a0a91.81071774,69
111,1584142387,96_campus_5e6c1833283a38.44563232,96
112,1584142750,100_campus_5e6c199e5b1a66.01846288,100
113,1584142785,95_campus_5e6c19c1dc52c8.72960804,95
114,1584143054,104_campus_5e6c1ace39b543.78405520,104
115,1584143211,105_campus_5e6c1b6bdc59a4.47859509,105
116,1584143232,106_campus_5e6c1b8022ec31.56807731,106
117,1584143431,104_campus_5e6c1c47c90607.77433161,104
118,1584143919,107_campus_5e6c1e2fb855b9.20811622,107
119,1584144176,96_campus_5e6c1f307a5616.14817996,96
120,1584144620,107_campus_5e6c20ecb5c1e7.56098402,107
121,1584144880,78_campus_5e6c21f05c6889.80204498,78
122,1584156945,105_campus_5e6c51110c2018.04635753,105
123,1584158192,120_campus_5e6c55f08f1781.27603060,120
124,1584160376,122_campus_5e6c5e78d4fca2.28883917,122
125,1584162233,122_campus_5e6c65b92d0aa0.74449243,122
126,1584184759,92_campus_5e6cbdb7e50610.61493352,92
127,1584191594,84_campus_5e6cd86a147358.12088385,84
128,1584191760,125_campus_5e6cd910395998.94230626,125
129,1584193958,125_campus_5e6ce1a6130215.24573879,125
130,1584195073,124_campus_5e6ce601b132e7.28463804,124
131,1584198879,128_campus_5e6cf4df974a90.91507715,128
132,1584199280,106_campus_5e6cf67080ddd0.14972972,106
133,1584201697,93_campus_5e6cffe1c48190.56441620,93
134,1584202973,100_campus_5e6d04dd968fe1.18042546,100
135,1584203715,102_campus_5e6d07c32858e6.78421570,102
136,1584205587,131_campus_5e6d0f13e0b9c4.43208143,131
137,1584207029,133_campus_5e6d14b58d24e2.48722990,133
138,1584207864,134_campus_5e6d17f8089722.08168769,134
139,1584208796,116_campus_5e6d1b9c71a927.76473270,116
141,1584210590,101_campus_5e6d229e100d12.56969973,101
142,1584211128,83_campus_5e6d24b83368e9.56349732,83
143,1584212956,137_campus_5e6d2bdc35c523.53861089,137
144,1584213111,107_campus_5e6d2c770416f7.26589517,107
145,1584214058,138_campus_5e6d302ad9d233.97692020,138
146,1584214974,138_campus_5e6d33be782402.07695694,138
147,1584218097,141_campus_5e6d3ff18d9c89.24008488,141
148,1584218543,122_campus_5e6d41afbf8d49.10043001,122
149,1584219878,78_campus_5e6d46e6de0cf3.65361507,78
150,1584225122,144_campus_5e6d5b627eb334.21006881,144
151,1584230229,121_campus_5e6d6f55eaef89.66177251,121
152,1584231115,87_campus_5e6d72cbaa0f55.08708583,87
153,1584231605,121_campus_5e6d74b5802b80.94456988,121
154,1584232320,105_campus_5e6d778040dfd9.92636165,105
155,1584278770,134_campus_5e6e2cf2acc718.04475372,134
156,1584278828,134_campus_5e6e2d2c5ace22.86071466,134
157,1584279462,134_campus_5e6e2fa607db31.92922959,134
158,1584284109,149_campus_5e6e41cdc26136.44428664,149
159,1584286496,150_campus_5e6e4b20aca5c4.30270078,150
160,1584289157,152_campus_5e6e55856b39b7.65654114,152
161,1584289577,152_campus_5e6e5729433b82.61707544,152
162,1584290989,148_campus_5e6e5cad9848a2.12834832,148
163,1584291433,153_campus_5e6e5e69518411.08718731,153
164,1584293481,154_campus_5e6e6669b68793.04106933,154
